passage_id,question,passage
1997_926_205,Na czyje rządanie organ podatkowy podejmuje postępowanie?," Art. 205. § 1. Gdy ustąpiły przyczyny uzasadniające zawieszenie postępowania, organ podatkowy podejmuje postępowanie z urzędu lub na żądanie strony. § 2. Na postanowienie o odmowie podjęcia zawieszonego postępowania służy stronie zażalenie. "
1996_493_20,Na czyj wniosek rada ministrów określa tryb powierzania mienia kierownikom urzędów państwowych?," Art. 20. Rada Ministrów, na wniosek Ministra Skarbu Państwa, określa, w drodze rozporządzenia: 1) zakres, szczegółowe zasady i tryb kontroli, o której mowa w art. 2 pkt 7 i 8, 2) tryb powierzania mienia kierownikom urzędów państwowych, 3) tryb powierzania mienia kierownikom jednostek organizacyjnych podporządkowanych kierownikom urzędów państwowych oraz tryb udzielania im pełnomocnictw do reprezentowania Skarbu Państwa, 4) szczegółowe zasady ewidencjonowania majątku Skarbu Państwa, w tym zbiorczej ewidencji, o której mowa w art. 2 pkt 3, oraz związane z tym obowiązki państwowych jednostek organizacyjnych, którym powierzono to mienie. "
1996_87_23,Jak wysoka była inwestycja na linie kolejowe o państwowym znaczeniu?," Art. 23. Ustala się kwotę dotacji na inwestycje, realizowane przez przedsiębiorstwo państwowe ""Polskie Koleje Państwowe"", dotyczące linii kolejowych o państwowym znaczeniu, w wysokości 350.500 tys. zł. "
2001_19_21,Jaka kwota z funduszu operacyjnego może być przeznaczona na wypłaty w pierwszym roku?," Art. 21. 1. Z funduszu operacyjnego mogą być dokonane wypłaty z tytułu niewprowadzenia do obrotu owoców i warzyw, jeżeli nie została wypłacona rekompensata. 2. Wypłata może być dokonana, jeżeli produkty zostały zagospodarowane w sposób, o którym mowa w art. 16. 3. Na wypłaty z funduszu operacyjnego może być przeznaczona kwota nie wyższa niż 60% wartości funduszu operacyjnego w pierwszym roku, 55% w drugim roku, 50% w trzecim roku, 45% w czwartym roku, 40% w piątym roku i 30%, poczynając od szóstego roku, licząc od dnia zatwierdzenia pierwszego programu. "
1997_555_356,Czy na rozprawie mogą być obecne osoby w stanie nie licującym z powagą sądu?," Art. 356. § 1. Na rozprawie oprócz osób biorących udział w postępowaniu mogą być obecne tylko osoby pełnoletnie, nie uzbrojone. § 2. Przewodniczący może zezwolić na obecność na rozprawie małoletnim oraz osobom obowiązanym do noszenia broni. § 3. Nie mogą być obecne na rozprawie osoby znajdujące się w stanie nie licującym z powagą sądu. "
1996_402_68,Czy urzędnik służby cywilnej ponosi opłaty z tytułu uczestnictwa w szkoleniach?, Art. 68. 1. Urzędnik służby cywilnej nie ponosi opłat z tytułu uczestnictwa w szkoleniach przewidzianych dla służby cywilnej. 2. Uczestnictwo w szkoleniach jest traktowane na równi z wykonywaniem obowiązków służbowych. 
1995_436_9,Jak długo trwa kadencja rady powiatu?," Art. 9. 1. Rada powiatu jest organem stanowiącym i kontrolnym powiatu, z zastrzeżeniem przepisów o referendum powiatowym. 2. Kadencja rady trwa 4 lata, licząc od dnia wyborów. 3. Radni wybierani są w wyborach bezpośrednich. Zasady i tryb przeprowadzania wyborów do rady powiatu oraz jej liczebność określa odrębna ustawa. "
1996_465_192,Kwoty przeznaczone do podziału wspólników nie mogą przekroczyć zysku za jaki rok?," Art. 192. Kwoty przeznaczone do podziału między wspólników nie mogą przekraczać zysku za ostatni rok obrotowy, powiększonego o kwoty przekazane na kapitały (fundusze) rezerwowe w poprzednich latach i pomniejszonego o poniesioną stratę oraz o kwoty przekazane na fundusze rezerwowe utworzone zgodnie z ustawą lub umową spółki, które nie mogą być przeznaczone na wypłatę dywidendy. "
1996_465_181,Jakie mogą być najniższe udziały powstałe w wyniku podziału?," Art. 181. §1. Jeżeli według umowy spółki wspólnik może mieć tylko jeden udział, umowa spółki może dopuścić zbycie części udziału. §2. W wyniku podziału nie mogą powstać udziały niższe niż 500 złotych. "
1997_555_164,"Czy sąd może przesłuchać wszelkich uczestników sprawy, której akta zginęły?"," Art. 164. W celu odtworzenia akt sąd przeprowadza postępowanie, w tym również dowody, jakie uzna za konieczne. W szczególności sąd bierze pod uwagę wpisy do rejestrów karnych, repertoriów i innych ksiąg biurowych, utrwalenia dźwięku lub obrazu, notatki protokolantów, sędziów, ławników, prokuratorów i adwokatów, którzy uczestniczyli w sprawie. Sąd może też przesłuchać w charakterze świadków wszelkich uczestników sprawy, której akta zaginęły lub uległy zniszczeniu, a także inne osoby, które mogą mieć wiadomości co do treści akt. "
2001_1402_6,Czy producentowi bazy danych przysłubuje prawo pobierania danych?," Art. 6. Producentowi bazy danych przysługuje wyłączne i zbywalne prawo pobierania danych i wtórnego ich wykorzystania w całości lub w istotnej części, co do jakości lub ilości. "
2004_2776_45,"W jaki sposób wójt, burmistrz lub prezydent miasta wybiera dziennych opiekunów?","Art. 45. Wójt, burmistrz lub prezydent miasta wybiera dziennych opiekunów w drodze otwartego konkursu ofert, przeprowadzonego na zasadach określonych w ustawie z dnia 24 kwietnia 2003 r. o działalności pożytku publicznego i o wolontariacie (Dz. U. z 2010 r. Nr 234, poz. 1536). "
1997_117_283,Czy do zadań dyrektora urzędu celnego należy pobieranie należności celnych?," Art. 283. Do zadań dyrektora urzędu celnego należy: 1) dokonywanie wymiaru i poboru należności celnych, 2) nadawanie towarom przeznaczenia celnego oraz wykonywanie innych czynności przewidzianych przepisami prawa celnego, 3) sprawowanie dozoru celnego i wykonywanie kontroli celnej, 4) zwalczanie i ściganie przestępstw i wykroczeń w zakresie ustalonym ustawą karną skarbową, 5) wykonywanie innych zadań zleconych w przepisach odrębnych. "
